Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-07 09:30:00-04:00,42289.51171875,42293.640625,42133.890625,42187.30078125,58269231,0.0,0.0
2024-10-07 11:00:00-04:00,42188.01953125,42250.51171875,42060.98828125,42105.26171875,38407125,0.0,0.0
2024-10-07 12:30:00-04:00,42105.44921875,42142.140625,42025.69140625,42054.9609375,29177393,0.0,0.0
2024-10-07 14:00:00-04:00,42055.16015625,42055.16015625,41831.73828125,41956.94140625,47522009,0.0,0.0
2024-10-07 15:30:00-04:00,41956.5703125,42012.109375,41902.62109375,41952.6796875,37638074,0.0,0.0
2024-10-08 09:30:00-04:00,42022.6484375,42096.4296875,41874.71875,41977.6796875,74720492,0.0,0.0
2024-10-08 11:00:00-04:00,41974.328125,42043.48046875,41960.12890625,42033.19921875,33223237,0.0,0.0
2024-10-08 12:30:00-04:00,42033.359375,42051.94140625,41936.73828125,42004.69921875,30842173,0.0,0.0
2024-10-08 14:00:00-04:00,42005.28125,42092.390625,42005.28125,42079.87109375,45858338,0.0,0.0
2024-10-08 15:30:00-04:00,42080.41015625,42128.55859375,42072.33984375,42075.3203125,40443897,0.0,0.0
2024-10-09 09:30:00-04:00,42070.3203125,42289.16015625,41993.3515625,42252.51953125,69118977,0.0,0.0
2024-10-09 11:00:00-04:00,42252.48828125,42485.76171875,42252.03125,42425.44921875,43605542,0.0,0.0
2024-10-09 12:30:00-04:00,42425.03125,42497.83984375,42371.08984375,42426.23828125,30004593,0.0,0.0
2024-10-09 14:00:00-04:00,42426.03125,42510.44921875,42393.01953125,42506.9609375,35318584,0.0,0.0
2024-10-09 15:30:00-04:00,42507.140625,42562.01171875,42480.87109375,42514.01953125,35281618,0.0,0.0
2024-10-10 09:30:00-04:00,42511.37109375,42511.37109375,42332.5390625,42355.55859375,70151013,0.0,0.0
2024-10-10 11:00:00-04:00,42355.1015625,42500.359375,42340.25,42498.16015625,31241175,0.0,0.0
2024-10-10 12:30:00-04:00,42498.1015625,42500.7109375,42314.75,42414.2890625,27759436,0.0,0.0
2024-10-10 14:00:00-04:00,42414.0703125,42414.671875,42308.0390625,42358.578125,30427306,0.0,0.0
2024-10-10 15:30:00-04:00,42358.6796875,42472.6796875,42357.26953125,42454.83984375,31515059,0.0,0.0
2024-10-11 09:30:00-04:00,42507.53125,42791.6015625,42507.53125,42767.078125,61933086,0.0,0.0
2024-10-11 11:00:00-04:00,42766.80859375,42835.48046875,42702.83984375,42722.78125,38157071,0.0,0.0
2024-10-11 12:30:00-04:00,42723.0703125,42798.671875,42707.21875,42793.140625,26714760,0.0,0.0
2024-10-11 14:00:00-04:00,42792.78125,42886.71875,42784.73046875,42876.1484375,33692898,0.0,0.0
2024-10-11 15:30:00-04:00,42876.2890625,42899.75,42854.73046875,42865.19140625,36555531,0.0,0.0
2024-10-14 09:30:00-04:00,42800.890625,42932.91015625,42707.140625,42922.03125,53043595,0.0,0.0
2024-10-14 11:00:00-04:00,42921.37890625,43062.78125,42898.26171875,43047.46875,32748373,0.0,0.0
2024-10-14 12:30:00-04:00,43047.46875,43075.37890625,43007.33984375,43011.9296875,23340819,0.0,0.0
2024-10-14 14:00:00-04:00,43011.8984375,43111.44921875,42995.328125,43081.19140625,29033776,0.0,0.0
2024-10-14 15:30:00-04:00,43081.08984375,43139.0,43066.69140625,43077.73828125,36189963,0.0,0.0
2024-10-15 09:30:00-04:00,43240.171875,43277.78125,42760.5390625,42918.171875,88143784,0.0,0.0
2024-10-15 11:00:00-04:00,42918.48828125,43004.1015625,42886.19140625,42996.6015625,48275167,0.0,0.0
2024-10-15 12:30:00-04:00,42996.359375,43002.4609375,42846.0,42855.921875,34990878,0.0,0.0
2024-10-15 14:00:00-04:00,42856.0,42866.140625,42725.3984375,42761.94921875,40864617,0.0,0.0
2024-10-15 15:30:00-04:00,42761.5703125,42775.859375,42703.171875,42752.51953125,51810554,0.0,0.0
2024-10-16 09:30:00-04:00,42706.48828125,42977.640625,42692.37109375,42944.94140625,73400907,0.0,0.0
