,PortfolioValue_min,PortfolioValue_max,PortfolioValue_mean,PortfolioValue_std,PortfolioValue_end,PortfolioValue_1st,PortfolioValue_median,PortfolioValue_3rd,CumulativeProfit_min,CumulativeProfit_max,CumulativeProfit_mean,CumulativeProfit_std,CumulativeProfit_end,CumulativeProfit_1st,CumulativeProfit_median,CumulativeProfit_3rd
0,9724.335312499989,17132.97214843749,12358.689557938656,1853.0824945346808,12669.34597656249,10921.823164062493,11624.999921875,13664.3733203125,-417.55707031249995,0.0,-223.79382084627332,132.29728830699108,-417.55707031249995,-341.4723828125001,-240.7407031250001,-97.5703515625
1,9682.20248046874,14627.649980468741,12219.756038431675,1322.280302829484,12733.821660156242,10972.431386718745,12174.75400390625,13290.907285156245,-488.90337890624994,0.0,-245.15469853940218,141.8106590217672,-351.09154296874993,-351.09154296874993,-258.23310546875,-127.42029296875002
2,9967.62595703124,15453.438847656245,11692.771636985628,1332.7550904525992,10374.582011718741,10507.476230468736,11429.285136718736,12446.715800781236,-807.8006445312501,19.037480468750015,-279.5880953998447,239.70968907919143,-807.8006445312501,-445.71751953125,-286.1858789062501,-17.89685546875
3,9922.053554687493,16571.59835937499,12286.062181919639,1618.4815222005209,11015.399531249994,11060.2846875,11888.59001953125,13136.453867187498,-597.6560156249999,120.99300781250001,-111.24641073854812,141.62312776997936,-597.6560156249999,-158.01121093749998,-90.10171874999997,0.0
4,9927.642363281248,16050.993925781248,11835.123199243011,1404.536775493924,10954.651035156252,10805.667910156246,11377.549355468751,12643.305253906246,-603.45501953125,52.116308593749984,-121.92761476125777,126.56958167618315,-603.45501953125,-252.98150390625003,-84.63162109375,-7.510292968750015
5,9617.920585937489,15129.095468750002,12203.753622015716,1349.121750676797,11186.483906249987,11148.80406249999,11983.434882812504,13343.3098046875,-970.5730859374999,0.0,-316.5526882763975,262.07713274921605,-970.5730859374999,-467.4676562499999,-309.39570312500007,-18.916523437499993
6,10218.324101562494,15788.092695312494,12177.620620996697,1445.3284160495534,10745.853437499998,10990.680390624993,11726.486367187501,13351.357890624995,-339.3260546874999,273.4925,6.160239591420814,123.19405360762498,-339.3260546874999,-71.59962890625,0.0,48.169453125000004
7,9857.89642578124,15142.970332031244,11917.142549859273,1208.7485304204354,11714.992207031244,10983.83322265625,11714.992207031244,12828.088535156252,-460.73896484375,0.0,-180.56571925951087,125.54847924520546,-460.73896484375,-278.25443359375,-142.10357421875,-64.54767578124999
8,9652.05220703124,19508.377988281238,12258.933294230386,2084.627045092163,11896.340878906241,10884.656542968738,11758.813183593738,13145.159511718737,-657.60580078125,0.0,-171.7980372913432,136.1784513752149,-657.60580078125,-284.90958984375004,-115.91175781250003,-67.01482421875005
9,10011.68525390625,16711.230761718747,11881.925319293476,1598.3428017327512,11209.286035156249,10821.334941406252,11209.286035156249,12377.518574218746,-430.92892578125003,76.78470703125,-55.54154211956524,99.19093246318629,-430.92892578125003,-112.36060546875004,-33.80189453125,11.685253906249962
