,PortfolioValue_min,PortfolioValue_max,PortfolioValue_mean,PortfolioValue_std,PortfolioValue_end,PortfolioValue_1st,PortfolioValue_median,PortfolioValue_3rd,CumulativeProfit_min,CumulativeProfit_max,CumulativeProfit_mean,CumulativeProfit_std,CumulativeProfit_end,CumulativeProfit_1st,CumulativeProfit_median,CumulativeProfit_3rd
0,10000.0,21489.92617187501,16400.390452794898,3157.0994099420254,18081.70314453126,13459.73939453125,17979.749160156254,18634.18119140626,-315.35404296875,0.0,-84.59753016798707,114.64501168388186,-315.35404296875,-132.95015625,0.0,0.0
1,10000.0,22737.586699218766,17609.061425231084,3518.7720443124354,22217.114257812522,14706.289804687503,18201.136738281264,20568.199531250015,-324.93447265624997,0.0,-84.43529122652579,115.17702368356977,-324.93447265624997,-133.61796875000002,0.0,0.0
2,9995.940703124998,22365.421503906255,16776.228203125,3525.4744571694278,22335.194492187504,13900.137363281248,17678.30001953125,19845.092968750007,-389.44117187500007,0.0,-114.22755886883809,144.17318580753619,-389.44117187500007,-211.9890625,0.0,0.0
3,10210.53181640625,22030.77287109376,16922.91519384537,3163.272738531555,19047.935839843765,14517.280156250003,18381.69849609376,19078.12246093751,-380.1195507812499,0.0,-96.46900234741787,134.0490505424154,-380.1195507812499,-142.48515625000002,0.0,0.0
4,10211.44755859375,20757.725449218764,16156.938028352415,2815.6848069794532,18678.824570312518,14286.776289062505,16761.850429687507,18650.934824218766,-314.74310546875,0.0,-85.88517477259393,113.3376375611752,-314.74310546875,-145.42517578125,0.0,0.0
5,10000.0,22332.69244140626,16735.809831829523,3462.560935981585,22279.342851562513,13670.737617187497,17534.166054687503,19721.097421875005,-379.07423828124996,0.0,-100.56914090008802,132.16022508448887,-379.07423828124996,-165.8540625,0.0,0.0
6,10211.44755859375,20957.066015625012,16640.952150363122,2976.5973451322325,17969.362695312517,14338.281308593752,17776.216132812508,19068.84732421876,-366.4262499999999,0.0,-95.19370094263499,126.40441612392827,-366.4262499999999,-155.49625,0.0,0.0
7,10211.44755859375,23214.99423828126,18581.489651004995,3636.3281237779975,23123.180664062507,16637.987851562502,19760.419472656256,21551.62070312501,-390.9051953125,0.0,-111.22555916226531,142.78691427638634,-390.9051953125,-199.51982421875,0.0,0.0
8,10000.0,23217.881386718753,18214.33416749193,3737.375185209703,22898.0738671875,15795.638007812497,19392.2271484375,21194.234941406252,-378.88929687499996,0.0,-111.39352525308101,141.93760713412377,-378.88929687499996,-198.87869140625,0.0,0.0
9,9999.4925390625,21653.35671875,16370.878578895248,3435.1365576490953,20017.677207031255,13239.10072265625,17574.214726562503,19551.902246093756,-288.47451171874997,0.0,-75.5921521970364,100.69579301475919,-288.47451171874997,-122.0210546875,0.0,0.0
10,9998.666835937498,23869.01109375003,18064.477911990183,4106.532927550175,21987.689531250027,14753.69896484375,19956.088769531274,21187.73171875001,-458.32421875,0.0,-120.11245295994718,161.30151826377687,-458.32421875,-187.03861328125,0.0,0.0
11,9998.8282421875,23501.571601562508,17108.62439957453,3785.2597756646223,23464.278535156256,14311.870019531249,17148.373671875,20205.207011718754,-246.17843749999997,0.0,-66.60935647740611,88.41464943921017,-246.17843749999997,-112.2776171875,0.0,0.0
12,10211.034707031251,22168.843066406258,17193.893456297683,3768.8224344443347,21858.88882812501,13867.17826171875,18380.383496093757,20477.653085937513,-392.2231640625,0.0,-109.23279333553404,140.97051774384516,-392.2231640625,-189.14626953124997,0.0,0.0
13,10210.78326171875,21504.527324218758,17320.177643871048,3104.563594644982,19420.596660156265,14909.708828125,18692.469589843757,19509.322792968764,-392.4348437500001,0.0,-110.9060133325998,143.60992166717278,-392.4348437500001,-189.2230078125,0.0,0.0
14,10211.44755859375,22732.24380859376,17476.81363620526,3339.241551927486,20870.939355468767,14952.113046875005,19104.744082031262,19869.237695312517,-357.51087890625,0.0,-87.7009148510857,123.96900023151524,-357.51087890625,-121.73779296875001,0.0,0.0
15,10211.44755859375,22885.719472656256,17624.150287375294,3592.7389674944943,22126.922617187513,14485.663144531249,18330.0334765625,20621.00892578125,-406.3287695312499,0.0,-106.78680265184857,144.16872805744552,-406.3287695312499,-169.28537109375003,0.0,0.0
