,PortfolioValue_min,PortfolioValue_max,PortfolioValue_mean,PortfolioValue_std,PortfolioValue_end,PortfolioValue_1st,PortfolioValue_median,PortfolioValue_3rd,CumulativeProfit_min,CumulativeProfit_max,CumulativeProfit_mean,CumulativeProfit_std,CumulativeProfit_end,CumulativeProfit_1st,CumulativeProfit_median,CumulativeProfit_3rd
0,10000.0,21098.910195312517,15258.241716900537,2874.6986801102557,16608.56179687501,12736.492929687513,15729.462226562513,17613.565351562516,-400.2189648437501,4847.908554687496,1787.0814238911294,1635.0376304478455,4847.908554687496,481.3270703125001,686.4912109375001,3355.8878125
1,10000.0,27952.00992187502,15643.770499439075,3788.90413349407,16657.06609375002,12919.94679687501,15177.154648437525,16695.935625000006,-373.319375,4640.254492187503,1454.2264759405896,1474.6127816318103,4640.254492187503,-139.60548828125002,544.6065624999999,2945.277773437501
2,9805.55167968751,36737.73414062503,17084.934551899074,6110.323222357476,16460.02210937502,12474.383046875002,15653.71582031251,19557.748046875015,-577.81318359375,4194.045703125003,1547.4819441215216,1629.441509754514,2949.4051171875003,-52.76277343749997,437.88712890625004,3210.012304687501
3,10000.0,33908.34919921878,16309.784402925017,5979.657558868038,16730.75943359377,11960.29615234375,14130.187988281252,17623.91326171876,-565.0987499999999,3318.524277343751,1190.9882543208578,1234.568275595641,2424.3453320312533,213.35789062500007,327.6281835937503,2399.83837890625
4,10313.04701171875,24649.301210937516,16441.801666781845,4233.138903307631,18670.971484375004,12282.029843750006,15788.806992187503,19814.872304687506,-353.50941406249996,4652.892109375006,1912.6489209848157,1657.3951981671362,4652.892109375006,520.8575390624997,854.14193359375,3498.5259765625015
5,9999.54009765625,21831.661035156263,14588.850344022347,2637.285771056614,15478.724160156253,12543.740957031248,14570.151074218755,16004.956972656253,-393.89625,4982.588222656252,1616.4167794980815,1573.237875754017,4982.588222656252,317.54134765625,462.05865234375,3195.2313476562504
6,9999.495214843751,28560.101699218798,16172.793070836879,4940.760725106572,16665.99126953129,12589.276191406265,15297.773066406276,17671.712089843757,-581.9537500000001,3368.99181640625,1240.2698530583377,1311.6705727848446,2908.9964648437517,176.17039062500007,308.9470898437502,2541.515136718751
7,10000.0,27246.197792968767,14716.839522713979,3586.5342696853363,16399.446699218763,12692.131699218753,13803.242871093766,16264.857050781251,-363.1144921875,4331.17494140625,1431.4248426118631,1276.7109399194237,4331.17494140625,493.04525390624997,602.67919921875,2796.098339843751
8,9999.0353125,25346.89103515626,15392.203313117847,3442.1806084433642,16984.718535156244,13044.627167968752,15431.53794921875,17042.214746093752,-467.2731640625,4858.16267578125,1604.4867533005986,1539.155490906456,4858.16267578125,215.92869140624984,558.9190820312499,3166.24966796875
9,10000.0,27306.06929687503,16633.460215168947,4622.381502641176,16076.065468750021,13148.650644531252,15397.975312500012,19871.28570312502,-428.6246875,4214.6817578125,1694.0995995788894,1638.0051148761108,3873.218828125003,186.89343749999983,552.4610351562499,3265.9210937499993
10,10111.38765625,23206.999921875016,14853.256697287987,3407.4088797743775,14024.539453125008,12039.261015625001,14434.839375000009,17226.889257812505,-584.3602734374998,3494.8288671875025,1298.1677335620452,1408.194195876361,3494.8288671875025,117.98624999999996,285.7941210937501,2595.2055859375
11,9999.540097656249,25929.975273437525,15934.34342697224,4012.7552470956057,16075.987226562509,12146.46527343751,15553.056601562508,19455.071601562508,-364.832421875,4712.192226562506,1814.6388136950454,1619.782373052922,4709.763554687507,417.9991015625004,705.3386718749999,3357.831757812501
12,10310.048710937519,25600.379687500044,15660.271839981975,3730.0145077756574,15286.00957031253,13105.360000000013,14316.171289062531,18252.845312500016,-470.59173828124995,4799.423945312501,1517.4552281965393,1520.5602143339993,4799.423945312501,83.51882812499976,456.62541015625,3044.1905859374997
13,9992.345683593749,26823.521640625037,16091.044621325458,4824.875191492845,18710.98121093753,11847.600195312498,15146.033027343758,18714.08140625002,-396.2025976562501,3675.2995312500016,1502.0290940223406,1398.4479977816952,3590.1486718750007,236.74875000000003,629.48462890625,2866.1529687500006
14,9999.540097656249,34051.449433593785,17706.386346192943,5825.514556303939,15807.148222656282,13345.865917968757,15651.064355468763,20483.48314453126,-241.60115234375002,4129.88322265625,1635.2621585994407,1497.5173850445724,2734.296660156248,147.34537109374995,650.2914453125001,3002.2644726562503
15,10000.0,23001.450566406278,15793.321339973836,3563.9975634609123,19250.332246093763,12710.910957031254,14704.372285156258,18599.525488281273,-397.59015624999995,4425.016386718753,1557.3263077604713,1399.5409924956325,4400.245332031253,519.27064453125,593.24662109375,2931.1048632812503
16,9999.54009765625,26544.269765625028,15680.05737880871,3390.0630147378797,16165.590976562513,13641.221992187502,15794.533320312516,17218.44062500001,-376.75697265625007,4447.447343750002,1504.7679453572127,1463.7312270106895,4447.447343750002,146.12031250000013,494.94787109375,3014.7244531249994
17,9952.13580078125,22791.85791015627,15075.593563406454,2977.4508087719646,17140.24021484376,12450.188261718757,15576.607636718752,16335.235839843757,-476.9246875,5076.63326171875,1671.548714941305,1628.0590630246363,5076.63326171875,224.77291015625013,533.23822265625,3216.2486132812514
18,10000.0,24077.545839843777,14665.822562922755,3069.760397100486,16499.42470703127,12223.707363281259,14002.74896484377,16194.28861328126,-468.21865234374985,4355.726855468748,1440.6365727635605,1427.7925217691238,4355.726855468748,162.83330078125024,414.39302734375013,2984.57083984375
19,10000.0,28016.660996093775,16249.049913379627,4526.4141732966955,16301.391660156265,13421.445410156259,15616.567109375006,16786.788085937507,-468.8683203125,3525.2489257812495,1386.77174891064,1337.4295277023696,3045.0846679687493,372.7083789062497,416.63873046874966,2709.132011718751
