,PortfolioValue_min,PortfolioValue_max,PortfolioValue_mean,PortfolioValue_std,PortfolioValue_end,PortfolioValue_1st,PortfolioValue_median,PortfolioValue_3rd,CumulativeProfit_min,CumulativeProfit_max,CumulativeProfit_mean,CumulativeProfit_std,CumulativeProfit_end,CumulativeProfit_1st,CumulativeProfit_median,CumulativeProfit_3rd
0,9995.244609375,17082.6603515625,11889.852288795615,1571.8665559618705,13197.797734375,10689.27443359375,11533.788359375001,12298.678750000003,-36.733984375,692.9316796875,285.8104739664209,255.85762461635827,577.7512890625001,31.929257812500012,157.88500000000005,521.5088671875001
1,10277.642792968749,14935.256249999991,12063.221627523288,1236.3248393944366,12110.413828124993,11137.155117187498,11935.802109374998,12662.091289062495,-32.080078125,1530.7101171875,592.4850121312113,501.39236749655157,1530.7101171875,154.17351562500002,255.34933593749997,1090.2233203125002
2,10313.16234375,14954.972128906256,11677.719434442939,1016.540851732064,12098.329589843757,10985.794628906255,11378.071035156256,12098.329589843757,-78.41892578125,911.4806445312504,371.5257739712734,399.40557349349695,887.1892773437501,0.0,35.266621093750004,803.7926367187504
3,10218.869472656252,14634.883925781258,11690.936826596471,1074.1666245121557,12838.562519531257,10891.716699218754,11454.75986328125,12237.118964843756,-106.04400390625,607.7879882812501,219.39478309394417,251.8658915554106,594.6266992187502,0.0,57.4853515625,479.10767578125
4,9997.31791015625,13671.8171875,11483.115143876164,813.9677756094076,12891.439414062497,10809.521406249998,11461.102187499999,11903.643476562498,-66.96062500000001,1131.1112499999997,373.06392650912267,355.0269962526232,1131.1112499999997,70.08574218749999,104.05175781249999,695.6408203125001
5,9997.31791015625,16726.801523437498,12126.112016328607,1673.101555312481,12339.131093749998,10774.913398437493,11534.986992187496,13414.561523437498,-52.025839843750006,1193.3624218749997,554.2794340789983,455.018238171754,1101.691093749999,143.271328125,338.81128906249995,1014.2674218749997
6,9940.772734375001,15847.8173046875,11624.105839722439,1389.605757727038,13504.8333984375,10503.2775390625,11169.220703125,12547.709374999999,-17.89685546875,1344.306796875,578.0558446962344,503.50867265337564,1344.306796875,156.09394531249998,204.710234375,1102.4014843749999
7,9999.637675781249,15610.145585937498,11730.09454774845,1123.3560027563865,13180.956992187499,10981.62109375,11534.930703125,12399.379609375,-103.16390625,606.6342968750001,240.0736795176631,283.2898015897355,527.4097656250001,-17.89685546875,41.85994140624999,551.8678515625
8,9862.903613281243,13621.845019531238,11470.365249296385,1015.665857398643,12788.638769531237,10611.125722656248,11470.142949218744,12404.118535156238,-129.89251953125,1104.5431445312502,449.6601824534162,489.30090988180734,1061.68623046875,-33.77654296875,111.70416015625,963.73626953125
9,10000.0,13545.90632812501,11519.880398510293,893.4563970619731,12306.646835937505,10812.266679687506,11511.455507812505,11971.228359375005,-86.34785156250001,1050.4529296875,372.6015541294643,340.7756686273476,1050.4529296875,46.28515625000003,145.29126953125,732.7310546875001
