Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-06 19:30:00+00:00,62632.46875,62752.50390625,62608.06640625,62613.64453125,39185408,0.0,0.0
2024-10-06 21:00:00+00:00,62618.37890625,62647.1328125,62308.5546875,62507.75,300652544,0.0,0.0
2024-10-06 22:30:00+00:00,62517.421875,62899.4609375,62508.234375,62820.15625,604683264,0.0,0.0
2024-10-07 00:00:00+00:00,62817.12890625,63927.2265625,62674.87109375,63872.640625,2419827712,0.0,0.0
2024-10-07 01:30:00+00:00,63833.93359375,63916.93359375,63599.89453125,63622.109375,1160208384,0.0,0.0
2024-10-07 03:00:00+00:00,63631.421875,63730.72265625,63354.4765625,63625.7421875,675588096,0.0,0.0
2024-10-07 04:30:00+00:00,63632.83984375,63632.83984375,63361.04296875,63402.03125,409507840,0.0,0.0
2024-10-07 06:00:00+00:00,63383.75,63702.19140625,63342.6875,63525.1015625,617435136,0.0,0.0
2024-10-07 07:30:00+00:00,63521.41796875,63697.390625,63452.56640625,63565.32421875,812331008,0.0,0.0
2024-10-07 09:00:00+00:00,63560.921875,63560.921875,62990.62890625,63007.27734375,1333798912,0.0,0.0
2024-10-07 10:30:00+00:00,62994.4140625,63054.69921875,62665.421875,63054.69921875,1445255168,0.0,0.0
2024-10-07 12:00:00+00:00,63114.5625,63137.46484375,62833.15625,63076.78125,902807552,0.0,0.0
2024-10-07 13:30:00+00:00,63096.421875,64358.9765625,62960.0546875,64066.515625,4091592704,0.0,0.0
2024-10-07 15:00:00+00:00,64001.8515625,64001.8515625,63460.3125,63674.703125,1059921920,0.0,0.0
2024-10-07 16:30:00+00:00,63675.5234375,63870.87890625,63554.84765625,63788.20703125,732993536,0.0,0.0
2024-10-07 18:00:00+00:00,63802.32421875,63802.32421875,62780.26953125,63186.0859375,2027751424,0.0,0.0
2024-10-07 19:30:00+00:00,63187.3359375,63430.32421875,62987.46875,62987.46875,665561088,0.0,0.0
2024-10-07 21:00:00+00:00,63001.66796875,63351.30859375,62999.1484375,63224.4765625,186820608,0.0,0.0
2024-10-07 22:30:00+00:00,63229.40625,63229.40625,62210.0703125,62261.484375,1396445184,0.0,0.0
2024-10-08 00:00:00+00:00,62227.6640625,62563.3125,62226.50390625,62404.12109375,188792832,0.0,0.0
2024-10-08 01:30:00+00:00,62416.40234375,62772.0078125,62405.75390625,62772.0078125,203489280,0.0,0.0
2024-10-08 03:00:00+00:00,62763.4453125,62784.5,62565.375,62725.4609375,183482368,0.0,0.0
2024-10-08 04:30:00+00:00,62729.98046875,62756.0703125,62346.53515625,62494.875,334088192,0.0,0.0
